,date,CJ
0,2020-10-13,cj bhc 킹콩 호떡 최고 호떡 의계 호떡 사랑 호떡 믹스 킹콩 호떡 최고 아이스크림 서호 호떡 사랑 도시 뿌링클 치즈볼 일리지 먹스타그램 맛스타그램
1,2020-09-29,cj gourmet worldcuisine 연휴 집콕 대비 먹거리 성하 준비 혼추족 하프 피자 치즈볼 짠한 매력 피자 허니 베이컨 체다 피자 없는 인기 사이드 사이드바 치즈볼 조합
2,2020-09-25,day set set set set dreambody cj 힘든 하체 운동 이십 오후 운동 하체 공포 하체 운동 하체 마다 이십 한번 있는 약하게 레그 프레 와이드 자세 진행 레그 익스 텐션 하프 스쿼트 짧게 일어 나기 진행 복근 운동 머신 손잡이 잡고 그레이 진행 힘듬 미리 코치 오늘이 그날 래서 다리 없는 상태 약하게 진행 나중 스쿼트 다리 주저 센터 차안 치즈볼 장하 다애 힘없는 고마 등살 저리 코치 오전 보더 러시 아직 목표 체중 빠샤 바디 프로필 준비 바디 프로필 준비 헬린 하체 운동 지옥불 힘없는 치즈볼 동하 여자 내자
3,2020-09-13,bj cj cgv pm bhc pm bj dday 사이드 타락 마지막 선배 님들 선정 지하 고민 시더 평소 궁금했던 선정 달라 평소 궁금헀던 없었습니다 선배 님들 단호 저건 라며 신경 회로 차단 앤티앤스 아몬드 크림 치즈스틱 해주 셨는데 탄수화물 맛집 회사 영화 볼때 한번 영화 시작 기억 저녁 타락 로제 찜닭 당면 분식 로제 중국 당면 디저트 커스타드 크로칸슈 치즈볼 선배 님들 치즈볼 브랜드 순진 헬창 후배 님들 교육 알볼 제외 선배 님들 은근 타락 많아요 짜장면 치킨 피자 아이스크림 햄버거 이런거 치즈볼 마왕 족발 칙촉 아이스크림 아이스박스 엽떡 이런거 많네요 저녁 마지막 타락 헬창 치즈볼 라이브 방송 특별 게스트 순진 후배 헬창들 타락 타락 헬창 마지막 선배 님들 야할 당면 종류 치즈 그런거 있잖아요 그런것
4,2020-09-11,cj cj cj 금요일 치킨 고추 크런치 양념치킨 사이드바 치즈볼 맛있게 치킨 치즈볼 고추 크런치 양념치킨 치즈볼
5,2020-09-11,cj cj cj 금요일 치킨 고추 크런치 양념치킨 사이드바 치즈볼 맛있게 치킨 치즈볼 고추 크런치 양념치킨 치즈볼
6,2020-09-11,cj cj cj 금요일 치킨 고추 크런치 양념치킨 사이드바 치즈볼 맛있게 치킨 치즈볼 고추 크런치 양념치킨 치즈볼
7,2020-09-11,hey whats guys bj pm cj pm 안녕 짧은 치즈볼 어제 슈가 쇼크 인해 성적 늦잠 흥미 기사 있어 과거 트레이너 시절 영상 캡쳐 세상 단호 표정 단당류 녀석 팹시 탄수화물 단당류 선배 님들 저녁 타락 지코 양념 소금 탄수화물 맛집 현미 햇반 쌀밥 도전 서브웨이 쿠키 뒷전 해명 라이브 선배 님들 내주 인스타 스토리 뒷전 거좀 선배 님들 아직 타락 같습니다 열심 선배 저녁 금요일 지코 먹방 타락 헬창 있을까요 측정 치즈볼 스쿼트 아이스박스 벤치 프레 미정 데드리프트
8,2020-08-25,shs 라면 점심 중식 한식 오뚜기 진라면 씨제이 비비고 감자 만두
9,2020-08-18,cj gourmet worldcuisine 모짜렐라 치즈 계속 성의 치즈볼 바스 청량한 콜라 즐거운 간식 간식 원픽 미식 여행
10,2020-08-16,lunch cj cook cooking foodporn foodie chicken cheeseball cheesesticks beer beerlover 점심 휴일 휴가 술술 가볍게 한잔 골뱅이 파채 비빔면 파채골빔 완성 파채골빔 치킨 치즈볼 노브랜드 치즈스틱 간식 바나나 식단 식단 기록 식단 일기 의식 요리 홈쿡 스타 요리 스타 골빔 치킨 치즈볼 치즈스틱 맥주 맥덕 낮술 스타 맛스타그램 먹스타그램
11,2020-08-08,cj cj hit cafe
12,2020-08-08,cj cj hit cafe
