,title,date
0," 애주가TV참PD BHC 치즈볼 긴장해야 할거같습니다. 전국의 치즈볼이 씨가 마르겠네요...
오늘 영상 대박입니다",2020-04-02
1," 애주가TV참PD BHC 치즈볼 긴장해야 할거같습니다. 여러분이 드시는 치킨 프랜차이즈 치즈볼은 거의 다  자체생산이 아닌 외주를 통해 나오는 제품들입니다.
개중에는 중소기업 제품도 있기 때문에 중소기업 제품이라고 크게 퀄리티가 떨어지거나 그러지는 않습니다.",2020-04-02
2, 애주가TV참PD BHC 치즈볼 긴장해야 할거같습니다. 이런 컨텐츠 참 좋은거 같아요 . 우리나라는 대기업에 여러가지가 집중되어 있는데 훌륭한 중소기업들이 많이 알려지면 좋겠네요 ~,2020-04-02
3," 애주가TV참PD BHC 치즈볼 긴장해야 할거같습니다. 5:03 8700 더 바삭한
5:55 9500 푸드킹
6:19 11500 썬리취 리얼
6:57 12170 마니커 크림",2020-04-02
4, 애주가TV참PD BHC 치즈볼 긴장해야 할거같습니다. 8:11 최종평가,2020-04-02
5, 애주가TV참PD BHC 치즈볼 긴장해야 할거같습니다. 훌륭한 중소기업많은데 대기업에 많이 묻히는게 안타까움ㅠ,2020-04-02
6, 애주가TV참PD BHC 치즈볼 긴장해야 할거같습니다. 8:10 비교 결과인데 그냥 내가 볼려고 댓글 담.,2020-04-02
7," 애주가TV참PD BHC 치즈볼 긴장해야 할거같습니다. 우와 치즈볼 짱 좋아하는데! 상세한 리뷰 감사합니다~ 믿고보는 참피디님! 선댓글 후감상하겠슴돠😖

+ bhc와 싱크로율 90프로 일치 1번 포미 찹쌀 치즈볼",2020-04-02
8, 애주가TV참PD BHC 치즈볼 긴장해야 할거같습니다. 내가 후니보다 잘생김 인정이면 좋아요,2020-04-02
9, 애주가TV참PD BHC 치즈볼 긴장해야 할거같습니다. bhc 치즈볼 비싸서 못사먹었는데 진짜 뒤졌다 딱 기다려,2020-04-02
10," 애주가TV참PD BHC 치즈볼 긴장해야 할거같습니다. 전 회사 제품이 나와 기쁩니다
다만 마니커(생닭)가 아닌 마니커에프앤지(육가공)에서 나온 제품입니다. 참고부탁드려요",2020-04-02
11, 애주가TV참PD BHC 치즈볼 긴장해야 할거같습니다. 대기업 넘 비싸요.. 중소기업이 수면위로 많이 뜨는 계기를 만들어주는 우리 참피디형님♡ 사랑해요 (덜렁),2020-04-02
12, 애주가TV참PD BHC 치즈볼 긴장해야 할거같습니다. 자 이제 치즈스틱 차례입니다.,2020-04-02
13," 애주가TV참PD BHC 치즈볼 긴장해야 할거같습니다. 튀김냄비에 대해서 쪼금 이야기하자면....!
저런 얇은 냄비는 튀김하기 조금 힘들어요...
다혈질같은 친구입니다 금방 열오르고 금방식어버리구 .... 
 참피디님이 잘못튀기셔서 탄게 아닐거에요!!",2020-04-02
14," 애주가TV참PD BHC 치즈볼 긴장해야 할거같습니다. 실력있는 중소기업들
흥해라!!!👍👍",2020-04-02
15, 애주가TV참PD BHC 치즈볼 긴장해야 할거같습니다. 뭔 치즈볼 매드무비를 만들어놨어 ㅋㅋㅋㅋㅋㅋ,2020-04-02
16, 애주가TV참PD BHC 치즈볼 긴장해야 할거같습니다. 다맛잇겟다..,2020-04-02
17, 애주가TV참PD BHC 치즈볼 긴장해야 할거같습니다. 영상 처음 보는데 참참참 하길래 게임인줄알거 고개 돌렸는데 굉장히 부끄럽네요 ㅋㅋㅋㅋㅋㅋㅋㅋ,2020-04-02
18," 핏블리 FITVELY 코로나19로 헬스장 문닫고 타락한 헬창, 살면서 처음먹는 치즈볼..눈물의 먹방 진짜 맛있다만 20번  ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",2020-09-14
19," 핏블리 FITVELY 코로나19로 헬스장 문닫고 타락한 헬창, 살면서 처음먹는 치즈볼..눈물의 먹방 수등 만점자가 H.O.T를 몰랐던 것 처럼
진정한 헬창은 기름맛을 몰라야 하는구나...",2020-09-14
20," 핏블리 FITVELY 코로나19로 헬스장 문닫고 타락한 헬창, 살면서 처음먹는 치즈볼..눈물의 먹방 이분 컨셉 잘잡으셨다
헬창과 살잘찌는 음식이라니
듣도보도 못한 조합이잖아",2020-09-14
21," 핏블리 FITVELY 코로나19로 헬스장 문닫고 타락한 헬창, 살면서 처음먹는 치즈볼..눈물의 먹방 진짜 웃긴게 피자집에서 일하는데 어제 오늘 근육몬들이 포장 엄청해감ㅋㅋ",2020-09-14
22," 핏블리 FITVELY 코로나19로 헬스장 문닫고 타락한 헬창, 살면서 처음먹는 치즈볼..눈물의 먹방 선생님 죽으라는 법은 없나봅니다.
헬스장 코로나 때문에 폐쇄 조치됐는데 
우울해서 치즈볼먹은게 신의한수라니...
인생은 어떻게 될지 모르는거 같습니다😃",2020-09-14
23," 핏블리 FITVELY 코로나19로 헬스장 문닫고 타락한 헬창, 살면서 처음먹는 치즈볼..눈물의 먹방 아 다른사람이면 뒷광고 리액션인데
이 형이하니까 한국치킨 처음먹은 외국인 리액션이네 ㅋㅋㅋㅋ",2020-09-14
24," 핏블리 FITVELY 코로나19로 헬스장 문닫고 타락한 헬창, 살면서 처음먹는 치즈볼..눈물의 먹방 누가 헬스 트레이너한테 치킨 뒷광고를 주냐곸ㅋㅋㅋ",2020-09-14
